FileIndex,Category
97,CLINTON_PRIMARY2008
98,CLINTON_PRIMARY2008
99,CLINTON_PRIMARY2008
100,CLINTON_PRIMARY2008
101,CLINTON_PRIMARY2008
102,RICHARDSON_PRIMARY2008
103,CLINTON_PRIMARY2008
104,CLINTON_PRIMARY2008
105,CLINTON_PRIMARY2008
106,CLINTON_PRIMARY2008
107,CLINTON_PRIMARY2008
108,CLINTON_PRIMARY2008
109,CLINTON_PRIMARY2008
110,MCCAIN_PRIMARY2008
111,CLINTON_PRIMARY2008
112,MCCAIN_PRIMARY2008
113,CLINTON_PRIMARY2008
114,CLINTON_PRIMARY2008
115,OBAMA_PRIMARY2008
116,OBAMA_PRIMARY2008
117,MCCAIN_PRIMARY2008
118,CLINTON_PRIMARY2008
119,CLINTON_PRIMARY2008
120,OBAMA_PRIMARY2008
121,CLINTON_PRIMARY2008
122,CLINTON_PRIMARY2008
123,CLINTON_PRIMARY2008
124,CLINTON_PRIMARY2008
125,CLINTON_PRIMARY2008
126,MCCAIN_PRIMARY2008
127,OBAMA_PRIMARY2008
128,MCCAIN_PRIMARY2008
129,MCCAIN_PRIMARY2008
130,OBAMA_PRIMARY2008
131,GIULIANI_PRIMARY2008
132,EDWARDS_PRIMARY2008
133,MCCAIN_PRIMARY2008
134,CLINTON_PRIMARY2008
135,CLINTON_PRIMARY2008
136,CLINTON_PRIMARY2008
137,MCCAIN_PRIMARY2008
138,CLINTON_PRIMARY2008
139,CLINTON_PRIMARY2008
140,CLINTON_PRIMARY2008
141,MCCAIN_PRIMARY2008
142,CLINTON_PRIMARY2008
143,CLINTON_PRIMARY2008
144,CLINTON_PRIMARY2008
145,CLINTON_PRIMARY2008
146,OBAMA_PRIMARY2008
147,OBAMA_PRIMARY2008
148,CLINTON_PRIMARY2008
149,MCCAIN_PRIMARY2008
150,CLINTON_PRIMARY2008
151,CLINTON_PRIMARY2008
152,CLINTON_PRIMARY2008
153,OBAMA_PRIMARY2008
154,OBAMA_PRIMARY2008
155,CLINTON_PRIMARY2008
156,CLINTON_PRIMARY2008
157,CLINTON_PRIMARY2008
158,CLINTON_PRIMARY2008
159,CLINTON_PRIMARY2008
160,CLINTON_PRIMARY2008
161,RICHARDSON_PRIMARY2008
162,CLINTON_PRIMARY2008
163,OBAMA_PRIMARY2008
164,OBAMA_PRIMARY2008
165,MCCAIN_PRIMARY2008
166,OBAMA_PRIMARY2008
167,CLINTON_PRIMARY2008
168,CLINTON_PRIMARY2008
169,MCCAIN_PRIMARY2008
170,OBAMA_PRIMARY2008
171,CLINTON_PRIMARY2008
172,MCCAIN_PRIMARY2008
173,OBAMA_PRIMARY2008
174,CLINTON_PRIMARY2008
175,CLINTON_PRIMARY2008
176,CLINTON_PRIMARY2008
177,CLINTON_PRIMARY2008
178,MCCAIN_PRIMARY2008
179,CLINTON_PRIMARY2008
180,OBAMA_PRIMARY2008
181,CLINTON_PRIMARY2008
182,RICHARDSON_PRIMARY2008
183,CLINTON_PRIMARY2008
184,CLINTON_PRIMARY2008
185,CLINTON_PRIMARY2008
186,CLINTON_PRIMARY2008
187,CLINTON_PRIMARY2008
188,OBAMA_PRIMARY2008
189,CLINTON_PRIMARY2008
190,CLINTON_PRIMARY2008
191,CLINTON_PRIMARY2008
192,CLINTON_PRIMARY2008
193,CLINTON_PRIMARY2008
194,CLINTON_PRIMARY2008
195,MCCAIN_PRIMARY2008
196,CLINTON_PRIMARY2008
197,CLINTON_PRIMARY2008
198,RICHARDSON_PRIMARY2008
199,MCCAIN_PRIMARY2008
200,ROMNEY_PRIMARY2012
201,RICHARDSON_PRIMARY2008
202,CLINTON_PRIMARY2008
203,MCCAIN_PRIMARY2008
204,CLINTON_PRIMARY2008
205,OBAMA_PRIMARY2008
206,CLINTON_PRIMARY2008
207,CLINTON_PRIMARY2008
208,CLINTON_PRIMARY2008
209,CLINTON_PRIMARY2008
210,CLINTON_PRIMARY2008
211,CLINTON_PRIMARY2008
212,CLINTON_PRIMARY2008
213,CLINTON_PRIMARY2008
214,OBAMA_PRIMARY2008
215,OBAMA_PRIMARY2008
216,CLINTON_PRIMARY2008
217,OBAMA_PRIMARY2008
218,CLINTON_PRIMARY2008
219,CLINTON_PRIMARY2008
220,RICHARDSON_PRIMARY2008
221,CLINTON_PRIMARY2008
222,CLINTON_PRIMARY2008
223,CLINTON_PRIMARY2008
224,CLINTON_PRIMARY2008
225,OBAMA_PRIMARY2008
226,CLINTON_PRIMARY2008
227,OBAMA_PRIMARY2008
228,OBAMA_PRIMARY2008
229,CLINTON_PRIMARY2008
230,OBAMA_PRIMARY2008
231,OBAMA_PRIMARY2008
232,RICHARDSON_PRIMARY2008
233,CLINTON_PRIMARY2008
234,CLINTON_PRIMARY2008
235,CLINTON_PRIMARY2008
236,CLINTON_PRIMARY2008
237,CLINTON_PRIMARY2008
238,CLINTON_PRIMARY2008
239,MCCAIN_PRIMARY2008
240,MCCAIN_PRIMARY2008
241,CLINTON_PRIMARY2008
242,CLINTON_PRIMARY2008
243,CLINTON_PRIMARY2008
244,CLINTON_PRIMARY2008
245,MCCAIN_PRIMARY2008
246,CLINTON_PRIMARY2008
247,MCCAIN_PRIMARY2008
248,CLINTON_PRIMARY2008
249,CLINTON_PRIMARY2008
250,CLINTON_PRIMARY2008
251,CLINTON_PRIMARY2008
252,MCCAIN_PRIMARY2008
253,MCCAIN_PRIMARY2008
254,CLINTON_PRIMARY2008
255,OBAMA_PRIMARY2008
256,MCCAIN_PRIMARY2008
257,OBAMA_PRIMARY2008
258,CLINTON_PRIMARY2008
259,CLINTON_PRIMARY2008
260,RICHARDSON_PRIMARY2008
261,MCCAIN_PRIMARY2008
262,CLINTON_PRIMARY2008
263,CLINTON_PRIMARY2008
264,CLINTON_PRIMARY2008
265,CLINTON_PRIMARY2008
266,OBAMA_PRIMARY2008
267,CLINTON_PRIMARY2008
268,CLINTON_PRIMARY2008
269,CLINTON_PRIMARY2008
270,CLINTON_PRIMARY2008
271,MCCAIN_PRIMARY2008
272,OBAMA_PRIMARY2008
273,CLINTON_PRIMARY2008
274,CLINTON_PRIMARY2008
275,CLINTON_PRIMARY2008
276,CLINTON_PRIMARY2008
277,CLINTON_PRIMARY2008
278,RICHARDSON_PRIMARY2008
279,CLINTON_PRIMARY2008
280,CLINTON_PRIMARY2008
281,CLINTON_PRIMARY2008
282,OBAMA_PRIMARY2008
283,CLINTON_PRIMARY2008
284,CLINTON_PRIMARY2008
285,MCCAIN_PRIMARY2008
286,CLINTON_PRIMARY2008
287,CLINTON_PRIMARY2008
288,GIULIANI_PRIMARY2008
289,OBAMA_PRIMARY2008
290,OBAMA_PRIMARY2008
291,CLINTON_PRIMARY2008
292,CLINTON_PRIMARY2008
293,OBAMA_PRIMARY2008
294,OBAMA_PRIMARY2008
295,MCCAIN_PRIMARY2008
296,OBAMA_PRIMARY2008
297,CLINTON_PRIMARY2008
298,RICHARDSON_PRIMARY2008
299,CLINTON_PRIMARY2008
300,OBAMA_PRIMARY2008
301,CLINTON_PRIMARY2008
302,CLINTON_PRIMARY2008
303,CLINTON_PRIMARY2008
304,CLINTON_PRIMARY2008
305,CLINTON_PRIMARY2008
306,OBAMA_PRIMARY2008
307,CLINTON_PRIMARY2008
308,OBAMA_PRIMARY2008
309,MCCAIN_PRIMARY2008
310,CLINTON_PRIMARY2008
311,CLINTON_PRIMARY2008
312,CLINTON_PRIMARY2008
313,CLINTON_PRIMARY2008
314,CLINTON_PRIMARY2008
315,CLINTON_PRIMARY2008
316,OBAMA_PRIMARY2008
317,RICHARDSON_PRIMARY2008
318,OBAMA_PRIMARY2008
319,CLINTON_PRIMARY2008
320,OBAMA_PRIMARY2008
321,OBAMA_PRIMARY2008
322,MCCAIN_PRIMARY2008
323,OBAMA_PRIMARY2008
324,OBAMA_PRIMARY2008
325,CLINTON_PRIMARY2008
326,MCCAIN_PRIMARY2008
327,CLINTON_PRIMARY2008
328,CLINTON_PRIMARY2008
329,RICHARDSON_PRIMARY2008
330,RICHARDSON_PRIMARY2008
331,OBAMA_PRIMARY2008
332,CLINTON_PRIMARY2008
333,OBAMA_PRIMARY2008
334,CLINTON_PRIMARY2008
335,GIULIANI_PRIMARY2008
336,MCCAIN_PRIMARY2008
337,OBAMA_PRIMARY2008
338,GIULIANI_PRIMARY2008
339,CLINTON_PRIMARY2008
340,OBAMA_PRIMARY2008
341,MCCAIN_PRIMARY2008
342,MCCAIN_PRIMARY2008
343,OBAMA_PRIMARY2008
344,MCCAIN_PRIMARY2008
345,MCCAIN_PRIMARY2008
346,CLINTON_PRIMARY2008
347,CLINTON_PRIMARY2008
348,CLINTON_PRIMARY2008
349,CLINTON_PRIMARY2008
350,CLINTON_PRIMARY2008
351,CLINTON_PRIMARY2008
352,GIULIANI_PRIMARY2008
353,OBAMA_PRIMARY2008
354,GIULIANI_PRIMARY2008
355,RICHARDSON_PRIMARY2008
356,CLINTON_PRIMARY2008
357,OBAMA_PRIMARY2008
358,CLINTON_PRIMARY2008
359,CLINTON_PRIMARY2008
360,CLINTON_PRIMARY2008
361,MCCAIN_PRIMARY2008
362,MCCAIN_PRIMARY2008
363,CLINTON_PRIMARY2008
364,CLINTON_PRIMARY2008
365,OBAMA_PRIMARY2008
366,CLINTON_PRIMARY2008
367,CLINTON_PRIMARY2008
368,OBAMA_PRIMARY2008
369,CLINTON_PRIMARY2008
370,OBAMA_PRIMARY2008
371,CLINTON_PRIMARY2008
372,CLINTON_PRIMARY2008
373,CLINTON_PRIMARY2008
374,CLINTON_PRIMARY2008
375,CLINTON_PRIMARY2008
376,CLINTON_PRIMARY2008
377,CLINTON_PRIMARY2008
378,CLINTON_PRIMARY2008
379,CLINTON_PRIMARY2008
380,CLINTON_PRIMARY2008
381,OBAMA_PRIMARY2008
382,OBAMA_PRIMARY2008
383,CLINTON_PRIMARY2008
384,CLINTON_PRIMARY2008
385,MCCAIN_PRIMARY2008
386,OBAMA_PRIMARY2008
387,CLINTON_PRIMARY2008
388,CLINTON_PRIMARY2008
389,CLINTON_PRIMARY2008
390,CLINTON_PRIMARY2008
391,CLINTON_PRIMARY2008
392,MCCAIN_PRIMARY2008
393,CLINTON_PRIMARY2008
394,CLINTON_PRIMARY2008
395,OBAMA_PRIMARY2008
396,RICHARDSON_PRIMARY2008
397,RICHARDSON_PRIMARY2008
398,OBAMA_PRIMARY2008
399,CLINTON_PRIMARY2008
400,CLINTON_PRIMARY2008
401,CLINTON_PRIMARY2008
402,CLINTON_PRIMARY2008
403,CLINTON_PRIMARY2008
404,MCCAIN_PRIMARY2008
405,OBAMA_PRIMARY2008
406,CLINTON_PRIMARY2008
407,CLINTON_PRIMARY2008
408,OBAMA_PRIMARY2008
409,MCCAIN_PRIMARY2008
410,CLINTON_PRIMARY2008
411,CLINTON_PRIMARY2008
412,CLINTON_PRIMARY2008
413,CLINTON_PRIMARY2008
414,CLINTON_PRIMARY2008
415,CLINTON_PRIMARY2008
416,EDWARDS_PRIMARY2008
417,CLINTON_PRIMARY2008
418,CLINTON_PRIMARY2008
419,CLINTON_PRIMARY2008
420,CLINTON_PRIMARY2008
421,MCCAIN_PRIMARY2008
422,CLINTON_PRIMARY2008
423,MCCAIN_PRIMARY2008
424,OBAMA_PRIMARY2008
425,CLINTON_PRIMARY2008
426,CLINTON_PRIMARY2008
427,CLINTON_PRIMARY2008
428,MCCAIN_PRIMARY2008
429,OBAMA_PRIMARY2008
430,MCCAIN_PRIMARY2008
431,OBAMA_PRIMARY2008
432,CLINTON_PRIMARY2008
433,OBAMA_PRIMARY2008
434,CLINTON_PRIMARY2008
435,CLINTON_PRIMARY2008
436,CLINTON_PRIMARY2008
437,CLINTON_PRIMARY2008
438,OBAMA_PRIMARY2008
439,CLINTON_PRIMARY2008
440,CLINTON_PRIMARY2008
441,CLINTON_PRIMARY2008
442,OBAMA_PRIMARY2008
443,MCCAIN_PRIMARY2008
444,OBAMA_PRIMARY2008
445,MCCAIN_PRIMARY2008
446,MCCAIN_PRIMARY2008
447,EDWARDS_PRIMARY2008
448,RICHARDSON_PRIMARY2008
449,GIULIANI_PRIMARY2008
450,CLINTON_PRIMARY2008
451,CLINTON_PRIMARY2008
452,OBAMA_PRIMARY2008
453,CLINTON_PRIMARY2008
454,CLINTON_PRIMARY2008
455,CLINTON_PRIMARY2008
456,CLINTON_PRIMARY2008
457,OBAMA_PRIMARY2008
458,CLINTON_PRIMARY2008
459,CLINTON_PRIMARY2008
460,OBAMA_PRIMARY2008
461,GINGRICH_PRIMARY2012
462,CLINTON_PRIMARY2008
463,CLINTON_PRIMARY2008
464,CLINTON_PRIMARY2008
465,CLINTON_PRIMARY2008
466,MCCAIN_PRIMARY2008
467,CLINTON_PRIMARY2008
468,MCCAIN_PRIMARY2008
469,CLINTON_PRIMARY2008
470,OBAMA_PRIMARY2008
471,CLINTON_PRIMARY2008
472,CLINTON_PRIMARY2008
473,CLINTON_PRIMARY2008
474,MCCAIN_PRIMARY2008
475,MCCAIN_PRIMARY2008
476,CLINTON_PRIMARY2008
477,CLINTON_PRIMARY2008
478,CLINTON_PRIMARY2008
479,CLINTON_PRIMARY2008
480,MCCAIN_PRIMARY2008
481,MCCAIN_PRIMARY2008
482,OBAMA_PRIMARY2008
483,CLINTON_PRIMARY2008
484,MCCAIN_PRIMARY2008
485,CLINTON_PRIMARY2008
486,OBAMA_PRIMARY2008
487,MCCAIN_PRIMARY2008
488,CLINTON_PRIMARY2008
489,CLINTON_PRIMARY2008
490,CLINTON_PRIMARY2008
491,MCCAIN_PRIMARY2008
492,CLINTON_PRIMARY2008
493,CLINTON_PRIMARY2008
494,MCCAIN_PRIMARY2008
495,CLINTON_PRIMARY2008
496,MCCAIN_PRIMARY2008
497,CLINTON_PRIMARY2008
498,RICHARDSON_PRIMARY2008
499,CLINTON_PRIMARY2008
500,CLINTON_PRIMARY2008
501,CLINTON_PRIMARY2008
502,OBAMA_PRIMARY2008
503,EDWARDS_PRIMARY2008
504,CLINTON_PRIMARY2008
505,CLINTON_PRIMARY2008
506,CLINTON_PRIMARY2008
507,CLINTON_PRIMARY2008
508,OBAMA_PRIMARY2008
509,OBAMA_PRIMARY2008
510,OBAMA_PRIMARY2008
511,CLINTON_PRIMARY2008
512,CLINTON_PRIMARY2008
513,OBAMA_PRIMARY2008
514,OBAMA_PRIMARY2008
515,CLINTON_PRIMARY2008
516,RICHARDSON_PRIMARY2008
517,CLINTON_PRIMARY2008
518,CLINTON_PRIMARY2008
519,CLINTON_PRIMARY2008
520,CLINTON_PRIMARY2008
521,OBAMA_PRIMARY2008
522,CLINTON_PRIMARY2008
523,RICHARDSON_PRIMARY2008
524,MCCAIN_PRIMARY2008
525,MCCAIN_PRIMARY2008
526,OBAMA_PRIMARY2008
527,ROMNEY_PRIMARY2012
528,CLINTON_PRIMARY2008
529,RICHARDSON_PRIMARY2008
530,CLINTON_PRIMARY2008
531,CLINTON_PRIMARY2008
532,CLINTON_PRIMARY2008
533,MCCAIN_PRIMARY2008
534,GIULIANI_PRIMARY2008
535,CLINTON_PRIMARY2008
536,CLINTON_PRIMARY2008
537,OBAMA_PRIMARY2008
538,OBAMA_PRIMARY2008
539,CLINTON_PRIMARY2008
540,MCCAIN_PRIMARY2008
541,CLINTON_PRIMARY2008
542,CLINTON_PRIMARY2008
543,CLINTON_PRIMARY2008
544,OBAMA_PRIMARY2008
545,CLINTON_PRIMARY2008
546,MCCAIN_PRIMARY2008
547,CLINTON_PRIMARY2008
548,GIULIANI_PRIMARY2008
549,OBAMA_PRIMARY2008
550,CLINTON_PRIMARY2008
551,OBAMA_PRIMARY2008
552,OBAMA_PRIMARY2008
553,CLINTON_PRIMARY2008
554,CLINTON_PRIMARY2008
555,CLINTON_PRIMARY2008
556,OBAMA_PRIMARY2008
557,CLINTON_PRIMARY2008
558,CLINTON_PRIMARY2008
559,CLINTON_PRIMARY2008
560,MCCAIN_PRIMARY2008
561,CLINTON_PRIMARY2008
562,MCCAIN_PRIMARY2008
563,CLINTON_PRIMARY2008
564,GIULIANI_PRIMARY2008
565,OBAMA_PRIMARY2008
566,CLINTON_PRIMARY2008
567,CLINTON_PRIMARY2008
568,RICHARDSON_PRIMARY2008
569,RICHARDSON_PRIMARY2008
570,CLINTON_PRIMARY2008
571,CLINTON_PRIMARY2008
572,CLINTON_PRIMARY2008
573,OBAMA_PRIMARY2008
574,CLINTON_PRIMARY2008
575,CLINTON_PRIMARY2008
576,MCCAIN_PRIMARY2008
577,CLINTON_PRIMARY2008
578,MCCAIN_PRIMARY2008
579,RICHARDSON_PRIMARY2008
580,CLINTON_PRIMARY2008
581,RICHARDSON_PRIMARY2008
582,GINGRICH_PRIMARY2012
583,OBAMA_PRIMARY2008
584,MCCAIN_PRIMARY2008
585,CLINTON_PRIMARY2008
586,EDWARDS_PRIMARY2008
587,CLINTON_PRIMARY2008
588,EDWARDS_PRIMARY2008
589,OBAMA_PRIMARY2008
590,CLINTON_PRIMARY2008
591,CLINTON_PRIMARY2008
592,OBAMA_PRIMARY2008
593,CLINTON_PRIMARY2008
594,OBAMA_PRIMARY2008
595,MCCAIN_PRIMARY2008
596,CLINTON_PRIMARY2008
597,MCCAIN_PRIMARY2008
598,MCCAIN_PRIMARY2008
599,CLINTON_PRIMARY2008
600,CLINTON_PRIMARY2008
601,MCCAIN_PRIMARY2008
602,CLINTON_PRIMARY2008
603,OBAMA_PRIMARY2008
604,CLINTON_PRIMARY2008
605,CLINTON_PRIMARY2008
606,CLINTON_PRIMARY2008
607,GIULIANI_PRIMARY2008
608,CLINTON_PRIMARY2008
609,CLINTON_PRIMARY2008
610,CLINTON_PRIMARY2008
611,CLINTON_PRIMARY2008
612,CLINTON_PRIMARY2008
613,CLINTON_PRIMARY2008
614,OBAMA_PRIMARY2008
615,CLINTON_PRIMARY2008
616,MCCAIN_PRIMARY2008
617,MCCAIN_PRIMARY2008
618,CLINTON_PRIMARY2008
619,CLINTON_PRIMARY2008
620,MCCAIN_PRIMARY2008
621,OBAMA_PRIMARY2008
622,CLINTON_PRIMARY2008
623,MCCAIN_PRIMARY2008
624,OBAMA_PRIMARY2008
625,CLINTON_PRIMARY2008
626,CLINTON_PRIMARY2008
627,MCCAIN_PRIMARY2008
628,CLINTON_PRIMARY2008
629,CLINTON_PRIMARY2008
630,OBAMA_PRIMARY2008
631,CLINTON_PRIMARY2008
632,SANTORUM_PRIMARY2012
633,CLINTON_PRIMARY2008
634,CLINTON_PRIMARY2008
635,MCCAIN_PRIMARY2008
636,CLINTON_PRIMARY2008
637,CLINTON_PRIMARY2008
638,CLINTON_PRIMARY2008
639,OBAMA_PRIMARY2008
640,GIULIANI_PRIMARY2008
641,CLINTON_PRIMARY2008
642,CLINTON_PRIMARY2008
643,CLINTON_PRIMARY2008
644,MCCAIN_PRIMARY2008
645,CLINTON_PRIMARY2008
646,RICHARDSON_PRIMARY2008
647,OBAMA_PRIMARY2008
648,CLINTON_PRIMARY2008
649,MCCAIN_PRIMARY2008
650,CLINTON_PRIMARY2008
651,CLINTON_PRIMARY2008
652,OBAMA_PRIMARY2008
653,CLINTON_PRIMARY2008
654,OBAMA_PRIMARY2008
655,CLINTON_PRIMARY2008
656,CLINTON_PRIMARY2008
657,OBAMA_PRIMARY2008
658,CLINTON_PRIMARY2008
659,MCCAIN_PRIMARY2008
660,OBAMA_PRIMARY2008
661,CLINTON_PRIMARY2008
662,CLINTON_PRIMARY2008
663,CLINTON_PRIMARY2008
664,CLINTON_PRIMARY2008
665,CLINTON_PRIMARY2008
666,MCCAIN_PRIMARY2008
667,OBAMA_PRIMARY2008
668,GIULIANI_PRIMARY2008
669,CLINTON_PRIMARY2008
670,RICHARDSON_PRIMARY2008
671,RICHARDSON_PRIMARY2008
672,MCCAIN_PRIMARY2008
673,CLINTON_PRIMARY2008
674,CLINTON_PRIMARY2008
675,CLINTON_PRIMARY2008
676,CLINTON_PRIMARY2008
677,MCCAIN_PRIMARY2008
678,CLINTON_PRIMARY2008
679,CLINTON_PRIMARY2008
680,CLINTON_PRIMARY2008
681,CLINTON_PRIMARY2008
682,CLINTON_PRIMARY2008
683,CLINTON_PRIMARY2008
684,MCCAIN_PRIMARY2008
685,CLINTON_PRIMARY2008
686,MCCAIN_PRIMARY2008
687,CLINTON_PRIMARY2008
688,CLINTON_PRIMARY2008
689,MCCAIN_PRIMARY2008
690,CLINTON_PRIMARY2008
691,CLINTON_PRIMARY2008
692,CLINTON_PRIMARY2008
693,CLINTON_PRIMARY2008
694,CLINTON_PRIMARY2008
695,OBAMA_PRIMARY2008
696,GINGRICH_PRIMARY2012
697,MCCAIN_PRIMARY2008
698,CLINTON_PRIMARY2008
699,CLINTON_PRIMARY2008
700,CLINTON_PRIMARY2008
701,CLINTON_PRIMARY2008
702,OBAMA_PRIMARY2008
703,MCCAIN_PRIMARY2008
704,CLINTON_PRIMARY2008
705,OBAMA_PRIMARY2008
706,CLINTON_PRIMARY2008
707,CLINTON_PRIMARY2008
708,CLINTON_PRIMARY2008
709,CLINTON_PRIMARY2008
710,CLINTON_PRIMARY2008
711,CLINTON_PRIMARY2008
712,CLINTON_PRIMARY2008
713,CLINTON_PRIMARY2008
714,CLINTON_PRIMARY2008
715,CLINTON_PRIMARY2008
716,CLINTON_PRIMARY2008
717,CLINTON_PRIMARY2008
718,OBAMA_PRIMARY2008
719,CLINTON_PRIMARY2008
720,CLINTON_PRIMARY2008
721,CLINTON_PRIMARY2008
722,CLINTON_PRIMARY2008
723,CLINTON_PRIMARY2008
724,CLINTON_PRIMARY2008
725,RICHARDSON_PRIMARY2008
726,OBAMA_PRIMARY2008
727,CLINTON_PRIMARY2008
728,MCCAIN_PRIMARY2008
729,CLINTON_PRIMARY2008
730,CLINTON_PRIMARY2008
731,RICHARDSON_PRIMARY2008
732,CLINTON_PRIMARY2008
733,CLINTON_PRIMARY2008
734,CLINTON_PRIMARY2008
735,CLINTON_PRIMARY2008
736,CLINTON_PRIMARY2008
737,RICHARDSON_PRIMARY2008
738,CLINTON_PRIMARY2008
739,CLINTON_PRIMARY2008
740,CLINTON_PRIMARY2008
741,CLINTON_PRIMARY2008
742,OBAMA_PRIMARY2008
743,CLINTON_PRIMARY2008
744,MCCAIN_PRIMARY2008
745,CLINTON_PRIMARY2008
746,CLINTON_PRIMARY2008
747,RICHARDSON_PRIMARY2008
748,CLINTON_PRIMARY2008
749,OBAMA_PRIMARY2008
750,OBAMA_PRIMARY2008
751,OBAMA_PRIMARY2008
752,OBAMA_PRIMARY2008
753,OBAMA_PRIMARY2008
754,MCCAIN_PRIMARY2008
755,CLINTON_PRIMARY2008
756,MCCAIN_PRIMARY2008
757,CLINTON_PRIMARY2008
758,OBAMA_PRIMARY2008
759,CLINTON_PRIMARY2008
760,CLINTON_PRIMARY2008
761,CLINTON_PRIMARY2008
762,CLINTON_PRIMARY2008
763,CLINTON_PRIMARY2008
764,OBAMA_PRIMARY2008
765,RICHARDSON_PRIMARY2008
766,CLINTON_PRIMARY2008
767,OBAMA_PRIMARY2008
768,CLINTON_PRIMARY2008
769,RICHARDSON_PRIMARY2008
770,OBAMA_PRIMARY2008
771,CLINTON_PRIMARY2008
772,CLINTON_PRIMARY2008
773,RICHARDSON_PRIMARY2008
774,OBAMA_PRIMARY2008
775,CLINTON_PRIMARY2008
776,OBAMA_PRIMARY2008
777,CLINTON_PRIMARY2008
778,CLINTON_PRIMARY2008
779,CLINTON_PRIMARY2008
780,CLINTON_PRIMARY2008
781,OBAMA_PRIMARY2008
782,CLINTON_PRIMARY2008
783,CLINTON_PRIMARY2008
784,CLINTON_PRIMARY2008
785,RICHARDSON_PRIMARY2008
786,CLINTON_PRIMARY2008
787,MCCAIN_PRIMARY2008
788,EDWARDS_PRIMARY2008
789,CLINTON_PRIMARY2008
790,CLINTON_PRIMARY2008
791,CLINTON_PRIMARY2008
792,CLINTON_PRIMARY2008
793,CLINTON_PRIMARY2008
794,CLINTON_PRIMARY2008
795,CLINTON_PRIMARY2008
796,OBAMA_PRIMARY2008
797,CLINTON_PRIMARY2008
798,CLINTON_PRIMARY2008
799,CLINTON_PRIMARY2008
800,CLINTON_PRIMARY2008
801,CLINTON_PRIMARY2008
802,CLINTON_PRIMARY2008
803,OBAMA_PRIMARY2008
804,OBAMA_PRIMARY2008
805,RICHARDSON_PRIMARY2008
806,CLINTON_PRIMARY2008
807,CLINTON_PRIMARY2008
808,CLINTON_PRIMARY2008
809,CLINTON_PRIMARY2008
